PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 1.5x20 STEEL TAPER UNHARDENED	ISO_2339_1.5x20_STEEL_UNHARDENED_TAPER_PIN	1.5	0.2	20.0	20.5	19.5	1.5	1.7	St	ISO 2339	1986
ISO 2339 PIN 1.5x22 STEEL TAPER UNHARDENED	ISO_2339_1.5x22_STEEL_UNHARDENED_TAPER_PIN	1.5	0.2	22.0	22.5	21.5	1.5	1.721	St	ISO 2339	1986
ISO 2339 PIN 1.5x24 STEEL TAPER UNHARDENED	ISO_2339_1.5x24_STEEL_UNHARDENED_TAPER_PIN	1.5	0.2	24.0	24.5	23.5	1.5	1.744	St	ISO 2339	1986
ISO 2339 PIN 2x10 STEEL TAPER UNHARDENED	ISO_2339_2x10_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	10.0	10.25	9.75	2.0	2.145	St	ISO 2339	1986
ISO 2339 PIN 2x12 STEEL TAPER UNHARDENED	ISO_2339_2x12_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	12.0	12.5	11.5	2.0	2.154	St	ISO 2339	1986
ISO 2339 PIN 2x14 STEEL TAPER UNHARDENED	ISO_2339_2x14_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	14.0	14.5	13.5	2.0	2.164	St	ISO 2339	1986
ISO 2339 PIN 2x16 STEEL TAPER UNHARDENED	ISO_2339_2x16_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	16.0	16.5	15.5	2.0	2.176	St	ISO 2339	1986
ISO 2339 PIN 2x18 STEEL TAPER UNHARDENED	ISO_2339_2x18_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	18.0	18.5	17.5	2.0	2.19	St	ISO 2339	1986
ISO 2339 PIN 2x20 STEEL TAPER UNHARDENED	ISO_2339_2x20_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	20.0	20.5	19.5	2.0	2.205	St	ISO 2339	1986
ISO 2339 PIN 2x22 STEEL TAPER UNHARDENED	ISO_2339_2x22_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	22.0	22.5	21.5	2.0	2.222	St	ISO 2339	1986
ISO 2339 PIN 2x24 STEEL TAPER UNHARDENED	ISO_2339_2x24_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	24.0	24.5	23.5	2.0	2.24	St	ISO 2339	1986
ISO 2339 PIN 2x26 STEEL TAPER UNHARDENED	ISO_2339_2x26_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	26.0	26.5	25.5	2.0	2.26	St	ISO 2339	1986
ISO 2339 PIN 2x28 STEEL TAPER UNHARDENED	ISO_2339_2x28_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	28.0	28.5	27.5	2.0	2.282	St	ISO 2339	1986
ISO 2339 PIN 2x30 STEEL TAPER UNHARDENED	ISO_2339_2x30_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	30.0	30.5	29.5	2.0	2.305	St	ISO 2339	1986
