PartNumber	PartName	b_width(mm)	h_thickness(mm)	l_length(mm)	s_chamfer_min(mm)	s_chamfer_max(mm)	h1_gib_head(mm)	Material	Reference	Edition
ISO 2492 KEY 32x11x360 THIN TAPER WITH GIB HEAD	ISO_2492_32x11x360_WITH_GIB_HEAD_THIN_TAPER_KEY	32.0	11.0	360.0	0.6	0.8	18.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x100 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x100_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	100.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x110 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x110_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	110.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x125 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x125_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	125.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x140 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x140_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	140.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x160 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x160_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	160.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x180 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x180_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	180.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x200 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x200_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	200.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x220 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x220_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	220.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x250 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x250_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	250.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x280 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x280_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	280.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x320 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x320_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	320.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x360 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x360_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	360.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 36x12x400 THIN TAPER WITH GIB HEAD	ISO_2492_36x12x400_WITH_GIB_HEAD_THIN_TAPER_KEY	36.0	12.0	400.0	1.0	1.2	20.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x125 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x125_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	125.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x140 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x140_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	140.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x160 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x160_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	160.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x180 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x180_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	180.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x200 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x200_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	200.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x220 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x220_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	220.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x250 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x250_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	250.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x280 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x280_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	280.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x320 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x320_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	320.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x360 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x360_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	360.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 40x14x400 THIN TAPER WITH GIB HEAD	ISO_2492_40x14x400_WITH_GIB_HEAD_THIN_TAPER_KEY	40.0	14.0	400.0	1.0	1.2	22.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x140 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x140_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	140.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x160 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x160_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	160.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x180 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x180_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	180.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x200 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x200_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	200.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x220 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x220_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	220.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x250 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x250_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	250.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x280 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x280_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	280.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x320 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x320_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	320.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x360 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x360_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	360.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 45x16x400 THIN TAPER WITH GIB HEAD	ISO_2492_45x16x400_WITH_GIB_HEAD_THIN_TAPER_KEY	45.0	16.0	400.0	1.0	1.2	25.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x160 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x160_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	160.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x180 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x180_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	180.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x200 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x200_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	200.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x220 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x220_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	220.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x250 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x250_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	250.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x280 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x280_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	280.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x320 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x320_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	320.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x360 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x360_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	360.0	1.0	1.2	28.0	St	ISO 2492	1974
ISO 2492 KEY 50x18x400 THIN TAPER WITH GIB HEAD	ISO_2492_50x18x400_WITH_GIB_HEAD_THIN_TAPER_KEY	50.0	18.0	400.0	1.0	1.2	28.0	St	ISO 2492	1974
