PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	n_nom(mm)	t_max(mm)	Material	Reference	Edition
ISO 2342 SCREW M3.5x8 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M3.5x8_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M3.5	3.5	0.6	4.2	8.0	0.5	1.78	St	ISO 2342	2003
ISO 2342 SCREW M3.5x10 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M3.5x10_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M3.5	3.5	0.6	4.2	10.0	0.5	1.78	St	ISO 2342	2003
ISO 2342 SCREW M3.5x12 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M3.5x12_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M3.5	3.5	0.6	4.2	12.0	0.5	1.78	St	ISO 2342	2003
ISO 2342 SCREW M3.5x14 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M3.5x14_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M3.5	3.5	0.6	4.2	14.0	0.5	1.78	St	ISO 2342	2003
ISO 2342 SCREW M4x14 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M4x14_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M4	4.0	0.7	4.8	14.0	0.6	2.05	St	ISO 2342	2003
ISO 2342 SCREW M5x14 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M5x14_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M5	5.0	0.8	6.0	14.0	0.8	2.35	St	ISO 2342	2003
ISO 2342 SCREW M6x14 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M6x14_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M6	6.0	1.0	7.2	14.0	1.0	2.9	St	ISO 2342	2003
ISO 2342 SCREW M8x14 SLOTTED HEADLESS WITH SHANK NON PREFERRED	ISO_2342_M8x14_SLOTTED_HEADLESS_WITH_SHANK_NON_PREFERRED_SCREW	M8	8.0	1.25	9.6	14.0	1.2	3.6	St	ISO 2342	2003
