PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer_min(mm)	s_chamfer_max(mm)	Form	Material	Reference	Edition
ISO 2491 KEY 80x28x10 THIN PARALLEL FORM B	ISO_2491_80x28x10_FORM_B_THIN_PARALLEL_KEY	80.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 90x28x10 THIN PARALLEL FORM B	ISO_2491_90x28x10_FORM_B_THIN_PARALLEL_KEY	90.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 100x28x10 THIN PARALLEL FORM B	ISO_2491_100x28x10_FORM_B_THIN_PARALLEL_KEY	100.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 110x28x10 THIN PARALLEL FORM B	ISO_2491_110x28x10_FORM_B_THIN_PARALLEL_KEY	110.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 125x28x10 THIN PARALLEL FORM B	ISO_2491_125x28x10_FORM_B_THIN_PARALLEL_KEY	125.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 140x28x10 THIN PARALLEL FORM B	ISO_2491_140x28x10_FORM_B_THIN_PARALLEL_KEY	140.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 160x28x10 THIN PARALLEL FORM B	ISO_2491_160x28x10_FORM_B_THIN_PARALLEL_KEY	160.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 180x28x10 THIN PARALLEL FORM B	ISO_2491_180x28x10_FORM_B_THIN_PARALLEL_KEY	180.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 200x28x10 THIN PARALLEL FORM B	ISO_2491_200x28x10_FORM_B_THIN_PARALLEL_KEY	200.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 220x28x10 THIN PARALLEL FORM B	ISO_2491_220x28x10_FORM_B_THIN_PARALLEL_KEY	220.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 250x28x10 THIN PARALLEL FORM B	ISO_2491_250x28x10_FORM_B_THIN_PARALLEL_KEY	250.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 280x28x10 THIN PARALLEL FORM B	ISO_2491_280x28x10_FORM_B_THIN_PARALLEL_KEY	280.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 320x28x10 THIN PARALLEL FORM B	ISO_2491_320x28x10_FORM_B_THIN_PARALLEL_KEY	320.0	28.0	10.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 90x32x11 THIN PARALLEL FORM B	ISO_2491_90x32x11_FORM_B_THIN_PARALLEL_KEY	90.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 100x32x11 THIN PARALLEL FORM B	ISO_2491_100x32x11_FORM_B_THIN_PARALLEL_KEY	100.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 110x32x11 THIN PARALLEL FORM B	ISO_2491_110x32x11_FORM_B_THIN_PARALLEL_KEY	110.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 125x32x11 THIN PARALLEL FORM B	ISO_2491_125x32x11_FORM_B_THIN_PARALLEL_KEY	125.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 140x32x11 THIN PARALLEL FORM B	ISO_2491_140x32x11_FORM_B_THIN_PARALLEL_KEY	140.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 160x32x11 THIN PARALLEL FORM B	ISO_2491_160x32x11_FORM_B_THIN_PARALLEL_KEY	160.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 180x32x11 THIN PARALLEL FORM B	ISO_2491_180x32x11_FORM_B_THIN_PARALLEL_KEY	180.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 200x32x11 THIN PARALLEL FORM B	ISO_2491_200x32x11_FORM_B_THIN_PARALLEL_KEY	200.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 220x32x11 THIN PARALLEL FORM B	ISO_2491_220x32x11_FORM_B_THIN_PARALLEL_KEY	220.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 250x32x11 THIN PARALLEL FORM B	ISO_2491_250x32x11_FORM_B_THIN_PARALLEL_KEY	250.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 280x32x11 THIN PARALLEL FORM B	ISO_2491_280x32x11_FORM_B_THIN_PARALLEL_KEY	280.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 320x32x11 THIN PARALLEL FORM B	ISO_2491_320x32x11_FORM_B_THIN_PARALLEL_KEY	320.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 360x32x11 THIN PARALLEL FORM B	ISO_2491_360x32x11_FORM_B_THIN_PARALLEL_KEY	360.0	32.0	11.0	0.6	0.8	B	St	ISO 2491	1974
ISO 2491 KEY 100x36x12 THIN PARALLEL FORM B	ISO_2491_100x36x12_FORM_B_THIN_PARALLEL_KEY	100.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 110x36x12 THIN PARALLEL FORM B	ISO_2491_110x36x12_FORM_B_THIN_PARALLEL_KEY	110.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 125x36x12 THIN PARALLEL FORM B	ISO_2491_125x36x12_FORM_B_THIN_PARALLEL_KEY	125.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 140x36x12 THIN PARALLEL FORM B	ISO_2491_140x36x12_FORM_B_THIN_PARALLEL_KEY	140.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 160x36x12 THIN PARALLEL FORM B	ISO_2491_160x36x12_FORM_B_THIN_PARALLEL_KEY	160.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 180x36x12 THIN PARALLEL FORM B	ISO_2491_180x36x12_FORM_B_THIN_PARALLEL_KEY	180.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 200x36x12 THIN PARALLEL FORM B	ISO_2491_200x36x12_FORM_B_THIN_PARALLEL_KEY	200.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 220x36x12 THIN PARALLEL FORM B	ISO_2491_220x36x12_FORM_B_THIN_PARALLEL_KEY	220.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 250x36x12 THIN PARALLEL FORM B	ISO_2491_250x36x12_FORM_B_THIN_PARALLEL_KEY	250.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 280x36x12 THIN PARALLEL FORM B	ISO_2491_280x36x12_FORM_B_THIN_PARALLEL_KEY	280.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 320x36x12 THIN PARALLEL FORM B	ISO_2491_320x36x12_FORM_B_THIN_PARALLEL_KEY	320.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 360x36x12 THIN PARALLEL FORM B	ISO_2491_360x36x12_FORM_B_THIN_PARALLEL_KEY	360.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
ISO 2491 KEY 400x36x12 THIN PARALLEL FORM B	ISO_2491_400x36x12_FORM_B_THIN_PARALLEL_KEY	400.0	36.0	12.0	1.0	1.2	B	St	ISO 2491	1974
