PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	type	Series	Material	Reference	Edition
ISO 7046-2 SCREW M5x40-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x40-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	35.7	40.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x45-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x45-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	40.7	45.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x50-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x50-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	38.0	50.0	38.0	2.0	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x8-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x8-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	2.7	8.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	4.7	10.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	6.7	12.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	8.7	14.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	10.7	16.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	14.7	20.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	19.7	25.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	24.7	30.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x35-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x35-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	29.7	35.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x40-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x40-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	34.7	40.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x45-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x45-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	39.7	45.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x50-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x50-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	38.0	50.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x55-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x55-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	38.0	55.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x60-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x60-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	38.0	60.0	38.0	2.0	11.3	3.3	1.5	2.5	6.6	3.3	0.82	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	2.85	10.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	4.85	12.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	6.85	14.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	8.85	16.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	12.85	20.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	17.85	25.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	22.85	30.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x35-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x35-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	27.85	35.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x40-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x40-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	32.85	40.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x45-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x45-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	37.85	45.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x50-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x50-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	50.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x55-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x55-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	55.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x60-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x60-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	60.0	38.0	2.5	15.8	4.65	2.0	3.2	8.7	4.4	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	4.0	12.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	6.0	14.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	8.0	16.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	12.0	20.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	17.0	25.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	22.0	30.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x35-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x35-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	27.0	35.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x40-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x40-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	32.0	40.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x45-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x45-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	37.0	45.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x50-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x50-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	50.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x55-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x55-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	55.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x60-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x60-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	60.0	38.0	3.0	18.3	5.0	2.5	3.8	9.6	5.3	1.22	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x3-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x3-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	1.0	3.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x4-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x4-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	2.0	4.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x5-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x5-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	3.0	5.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x6-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x6-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	4.0	6.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	6.0	8.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	8.0	10.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	10.0	12.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	12.0	14.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	14.0	16.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	18.0	20.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	23.0	25.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	28.0	30.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.48	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x3-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x3-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	0.6	3.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x4-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x4-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	1.6	4.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x5-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x5-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	2.6	5.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x6-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x6-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	3.6	6.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	5.6	8.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	7.6	10.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	9.6	12.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	11.6	14.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	13.6	16.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	17.6	20.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	22.6	25.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	27.6	30.0	25.0	0.9	4.7	1.5	0.6	1.1	2.5	1.47	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x4-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x4-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	1.35	4.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x5-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x5-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	2.35	5.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x6-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x6-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	3.35	6.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	5.35	8.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	7.35	10.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	9.35	12.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	11.35	14.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	13.35	16.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	17.35	20.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	22.35	25.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	27.35	30.0	25.0	1.0	5.5	1.65	0.8	1.25	2.8	1.73	0.74	Z	2.0	St	ISO 7046-2	1990
