PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	c_max(mm)	c_min(mm)	da_max(mm)	ds_max(mm)	dw_min(mm)	e_min(mm)	lf_max(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	Grade	Material	Reference	Edition
ISO 4014 BOLT M18x90 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x90_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	42.0	90.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	35.5	48.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x100 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x100_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	42.0	100.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	45.5	58.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x110 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x110_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	42.0	110.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	55.5	68.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x120 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x120_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	42.0	120.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	65.5	78.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x130 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x130_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	48.0	130.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	69.5	82.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x140 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x140_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	48.0	140.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	79.5	92.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x150 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M18x150_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	48.0	150.0	0.8	0.2	20.2	18.0	25.34	30.14	3.0	11.175	7.9	0.6	27.0	89.5	102.0	A	St	ISO 4014	1999
ISO 4014 BOLT M18x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M18x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	48.0	160.0	0.8	0.2	20.2	18.0	24.58	29.56	3.0	11.85	7.81	0.6	27.0	99.5	112.0	B	St	ISO 4014	1999
ISO 4014 BOLT M18x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M18x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M18	18.0	2.5	48.0	180.0	0.8	0.2	20.2	18.0	24.58	29.56	3.0	11.85	7.81	0.6	27.0	119.5	132.0	B	St	ISO 4014	1999
ISO 4014 BOLT M22x90 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x90_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	50.0	90.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	27.5	40.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x100 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x100_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	50.0	100.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	37.5	50.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x110 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x110_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	50.0	110.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	47.5	60.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x120 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x120_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	50.0	120.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	57.5	70.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x130 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x130_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	56.0	130.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	61.5	74.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x140 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x140_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	56.0	140.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	71.5	84.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x150 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M22x150_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	56.0	150.0	0.8	0.2	24.4	22.0	31.71	37.72	4.0	14.215	9.65	0.8	34.0	81.5	94.0	A	St	ISO 4014	1999
ISO 4014 BOLT M22x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M22x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	56.0	160.0	0.8	0.2	24.4	22.0	31.35	37.29	4.0	14.35	9.56	0.8	34.0	91.5	104.0	B	St	ISO 4014	1999
ISO 4014 BOLT M22x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M22x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	56.0	180.0	0.8	0.2	24.4	22.0	31.35	37.29	4.0	14.35	9.56	0.8	34.0	111.5	124.0	B	St	ISO 4014	1999
ISO 4014 BOLT M22x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M22x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	56.0	200.0	0.8	0.2	24.4	22.0	31.35	37.29	4.0	14.35	9.56	0.8	34.0	131.5	144.0	B	St	ISO 4014	1999
ISO 4014 BOLT M22x220 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M22x220_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M22	22.0	2.5	69.0	220.0	0.8	0.2	24.4	22.0	31.35	37.29	4.0	14.35	9.56	0.8	34.0	138.5	151.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x100 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x100_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	60.0	100.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	25.0	40.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x110 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x110_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	60.0	110.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	35.0	50.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	60.0	120.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	45.0	60.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	66.0	130.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	49.0	64.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	66.0	140.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	59.0	74.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	66.0	150.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	69.0	84.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	66.0	160.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	79.0	94.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	66.0	180.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	99.0	114.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	66.0	200.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	119.0	134.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x220 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x220_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	79.0	220.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	126.0	141.0	B	St	ISO 4014	1999
ISO 4014 BOLT M27x240 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x240_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	79.0	240.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	146.0	161.0	B	St	ISO 4014	1999
