PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	d1_dia_point(mm)	Y_Cone_Angle	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
ISO 4027 SCREW M16x40 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x40_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	39.375	40.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x45 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x45_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	44.375	45.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x50 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x50_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	49.375	50.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x55 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x55_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	54.375	55.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x60 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x60_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	59.375	60.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M20x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	19.219	20.0	5.0	120	11.429	10.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M20x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	24.219	25.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	29.219	30.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x35 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x35_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	34.219	35.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x40 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x40_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	39.219	40.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x45 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x45_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	44.219	45.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x50 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x50_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	49.219	50.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x55 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x55_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	54.219	55.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M20x60 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M20x60_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M20	20.0	2.5	59.219	60.0	5.0	90	11.429	10.0	12.0	St	IS0 4027	2003
ISO 4027 SCREW M24x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	24.063	25.0	6.0	120	13.716	12.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M24x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	29.063	30.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
ISO 4027 SCREW M24x35 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x35_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	34.063	35.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
ISO 4027 SCREW M24x40 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x40_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	39.063	40.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
ISO 4027 SCREW M24x45 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x45_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	44.063	45.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
ISO 4027 SCREW M24x50 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x50_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	49.063	50.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
ISO 4027 SCREW M24x55 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x55_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	54.063	55.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
ISO 4027 SCREW M24x60 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M24x60_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M24	24.0	3.0	59.063	60.0	6.0	90	13.716	12.0	15.0	St	IS0 4027	2003
