PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	d1_dia_point(mm)	Y_Cone_Angle	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
ISO 4027 SCREW M2.5x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2.5x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2.5	2.5	0.45	7.859	8.0	0.65	90	1.454	1.3	2.0	St	IS0 4027	2003
ISO 4027 SCREW M2.5x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2.5x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2.5	2.5	0.45	9.859	10.0	0.65	90	1.454	1.3	2.0	St	IS0 4027	2003
ISO 4027 SCREW M2.5x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2.5x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2.5	2.5	0.45	11.859	12.0	0.65	90	1.454	1.3	2.0	St	IS0 4027	2003
ISO 4027 SCREW M3x3 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x3_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	2.844	3.0	0.75	120	1.733	1.5	1.2	St	IS0 4027	2003
ISO 4027 SCREW M3x4 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x4_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	3.844	4.0	0.75	120	1.733	1.5	1.2	St	IS0 4027	2003
ISO 4027 SCREW M3x5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	4.844	5.0	0.75	90	1.733	1.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M3x6 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x6_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	5.844	6.0	0.75	90	1.733	1.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M3x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	7.844	8.0	0.75	90	1.733	1.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M3x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	9.844	10.0	0.75	90	1.733	1.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M3x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	11.844	12.0	0.75	90	1.733	1.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M3x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M3x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M3	3.0	0.5	15.844	16.0	0.75	90	1.733	1.5	2.0	St	IS0 4027	2003
