PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
ISO 4017 SCREW M27x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	131.0	140.0	142.0	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	141.0	150.0	152.0	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	151.0	160.0	162.0	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	171.0	180.0	182.0	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	191.0	200.0	202.3	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x65 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x65_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	54.5	65.0	66.5	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x70 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x70_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	59.5	70.0	71.5	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x80 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x80_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	69.5	80.0	81.5	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x90 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x90_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	79.5	90.0	91.75	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x100 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x100_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	89.5	100.0	101.75	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x110 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x110_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	99.5	110.0	111.75	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	109.5	120.0	121.75	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	119.5	130.0	132.0	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	129.5	140.0	142.0	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	139.5	150.0	152.0	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	149.5	160.0	162.0	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	169.5	180.0	182.0	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M33x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M33x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	189.5	200.0	202.3	10.5	0.8	0.2	36.4	46.55	55.37	21.42	14.41	1.0	50.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x80 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x80_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	68.0	80.0	81.5	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x90 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x90_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	78.0	90.0	91.75	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x100 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x100_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	88.0	100.0	101.75	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x110 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x110_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	98.0	110.0	111.75	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	108.0	120.0	121.75	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	118.0	130.0	132.0	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	128.0	140.0	142.0	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	138.0	150.0	152.0	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	148.0	160.0	162.0	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	168.0	180.0	182.0	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M39x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M39x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M39	39.0	4.0	188.0	200.0	202.3	12.0	1.0	0.3	42.4	55.86	66.44	25.42	17.21	1.0	60.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x90 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x90_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	76.5	90.0	91.75	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x100 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x100_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	86.5	100.0	101.75	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x110 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x110_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	96.5	110.0	111.75	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	106.5	120.0	121.75	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	116.5	130.0	132.0	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	126.5	140.0	142.0	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	136.5	150.0	152.0	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	146.5	160.0	162.0	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	166.5	180.0	182.0	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M45x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M45x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M45	46.0	4.5	186.5	200.0	202.3	13.5	1.0	0.3	48.6	64.7	76.95	28.42	19.31	1.2	70.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x100 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x100_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	85.0	100.0	101.75	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x110 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x110_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	95.0	110.0	111.75	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	105.0	120.0	121.75	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	115.0	130.0	132.0	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	125.0	140.0	142.0	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	135.0	150.0	152.0	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	145.0	160.0	162.0	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	165.0	180.0	182.0	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M52x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M52x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M52	52.0	5.0	185.0	200.0	202.3	15.0	1.0	0.3	56.6	74.2	88.25	33.5	22.75	1.6	80.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	103.5	120.0	121.75	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	113.5	130.0	132.0	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	123.5	140.0	142.0	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	133.5	150.0	152.0	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	143.5	160.0	162.0	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	163.5	180.0	182.0	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
ISO 4017 SCREW M60x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M60x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M60	60.0	5.5	183.5	200.0	202.3	16.5	1.0	0.3	67.0	83.41	99.21	38.5	26.25	2.0	90.0	B	St	ISO 4017	1999
