PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
ISO 4017 SCREW M14x80 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x80_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	74.0	80.0	80.6	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x90 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x90_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	84.0	90.0	90.7	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x100 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x100_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	94.0	100.0	100.7	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x110 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x110_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	104.0	110.0	110.7	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x120 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x120_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	114.0	120.0	120.7	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x130 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x130_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	124.0	130.0	130.8	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x140 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x140_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	134.0	140.0	140.8	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x35 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x35_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	27.5	35.0	35.5	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x40 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x40_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	32.5	40.0	40.5	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x45 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x45_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	37.5	45.0	45.5	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x50 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x50_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	42.5	50.0	50.5	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x55 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x55_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	47.5	55.0	55.6	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x60 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x60_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	52.5	60.0	60.6	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x65 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x65_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	57.5	65.0	65.6	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
