PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	dp_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_len_max(mm)	type	Material	Reference	Edition
ISO 4028 SCREW M16x45 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x45_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	44.375	45.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x50 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x50_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	49.375	50.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x55 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x55_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	54.375	55.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x60 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x60_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	59.375	60.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x20 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M20x20_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M20	20.0	2.5	19.219	20.0	15.0	11.429	10.0	8.0	5.3	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M20x25 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M20x25_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M20	20.0	2.5	24.219	25.0	15.0	11.429	10.0	8.0	5.3	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M20x30 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x30_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	29.219	30.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x35 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x35_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	34.219	35.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x40 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x40_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	39.219	40.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x45 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x45_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	44.219	45.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x50 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x50_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	49.219	50.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x55 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x55_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	54.219	55.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M20x60 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M20x60_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	59.219	60.0	15.0	11.429	10.0	12.0	10.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M24x25 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M24x25_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M24	24.0	3.0	24.063	25.0	18.0	13.716	12.0	10.0	6.3	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M24x30 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M24x30_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M24	24.0	3.0	29.063	30.0	18.0	13.716	12.0	10.0	6.3	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M24x35 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M24x35_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	34.063	35.0	18.0	13.716	12.0	15.0	12.43	LONG	St	IS0 4028	2003
ISO 4028 SCREW M24x40 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M24x40_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	39.063	40.0	18.0	13.716	12.0	15.0	12.43	LONG	St	IS0 4028	2003
ISO 4028 SCREW M24x45 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M24x45_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	44.063	45.0	18.0	13.716	12.0	15.0	12.43	LONG	St	IS0 4028	2003
ISO 4028 SCREW M24x50 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M24x50_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	49.063	50.0	18.0	13.716	12.0	15.0	12.43	LONG	St	IS0 4028	2003
ISO 4028 SCREW M24x55 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M24x55_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	54.063	55.0	18.0	13.716	12.0	15.0	12.43	LONG	St	IS0 4028	2003
ISO 4028 SCREW M24x60 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M24x60_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	59.063	60.0	18.0	13.716	12.0	15.0	12.43	LONG	St	IS0 4028	2003
