PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	dp_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_len_max(mm)	type	Material	Reference	Edition
ISO 4028 SCREW M2.5x8 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2.5x8_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	7.859	8.0	1.5	1.454	1.3	2.0	1.5	LONG	St	IS0 4028	2003
ISO 4028 SCREW M2.5x10 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2.5x10_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	9.859	10.0	1.5	1.454	1.3	2.0	1.5	LONG	St	IS0 4028	2003
ISO 4028 SCREW M2.5x12 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2.5x12_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	11.859	12.0	1.5	1.454	1.3	2.0	1.5	LONG	St	IS0 4028	2003
ISO 4028 SCREW M3x4 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M3x4_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M3	3.0	0.5	3.844	4.0	2.0	1.733	1.5	1.2	1.0	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M3x5 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M3x5_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M3	3.0	0.5	4.844	5.0	2.0	1.733	1.5	1.2	1.0	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M3x6 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M3x6_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	5.844	6.0	2.0	1.733	1.5	2.0	1.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M3x8 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M3x8_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	7.844	8.0	2.0	1.733	1.5	2.0	1.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M3x10 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M3x10_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	9.844	10.0	2.0	1.733	1.5	2.0	1.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M3x12 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M3x12_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	11.844	12.0	2.0	1.733	1.5	2.0	1.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M3x16 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M3x16_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	15.844	16.0	2.0	1.733	1.5	2.0	1.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M4x5 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M4x5_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M4	4.0	0.7	4.781	5.0	2.5	2.303	2.0	1.5	1.25	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M4x6 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M4x6_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M4	4.0	0.7	5.781	6.0	2.5	2.303	2.0	1.5	1.25	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M4x8 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M4x8_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	7.781	8.0	2.5	2.303	2.0	2.5	2.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M4x10 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M4x10_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	9.781	10.0	2.5	2.303	2.0	2.5	2.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M4x12 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M4x12_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	11.781	12.0	2.5	2.303	2.0	2.5	2.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M4x16 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M4x16_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	15.781	16.0	2.5	2.303	2.0	2.5	2.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M4x20 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M4x20_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	19.781	20.0	2.5	2.303	2.0	2.5	2.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M5x6 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M5x6_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M5	5.0	0.8	5.75	6.0	3.5	2.873	2.5	2.0	1.5	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M5x8 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M5x8_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	7.75	8.0	3.5	2.873	2.5	3.0	2.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M5x10 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M5x10_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	9.75	10.0	3.5	2.873	2.5	3.0	2.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M5x12 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M5x12_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	11.75	12.0	3.5	2.873	2.5	3.0	2.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M5x16 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M5x16_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	15.75	16.0	3.5	2.873	2.5	3.0	2.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M5x20 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M5x20_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	19.75	20.0	3.5	2.873	2.5	3.0	2.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M5x25 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M5x25_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	24.75	25.0	3.5	2.873	2.5	3.0	2.75	LONG	St	IS0 4028	2003
ISO 4028 SCREW M6x8 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M6x8_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M6	6.0	1.0	7.688	8.0	4.0	3.443	3.0	2.0	1.75	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M6x10 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M6x10_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	9.688	10.0	4.0	3.443	3.0	3.5	3.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M6x12 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M6x12_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	11.688	12.0	4.0	3.443	3.0	3.5	3.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M6x16 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M6x16_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	15.688	16.0	4.0	3.443	3.0	3.5	3.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M6x20 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M6x20_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	19.688	20.0	4.0	3.443	3.0	3.5	3.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M6x25 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M6x25_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	24.688	25.0	4.0	3.443	3.0	3.5	3.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M6x30 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M6x30_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	29.688	30.0	4.0	3.443	3.0	3.5	3.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x8 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M8x8_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M8	8.0	1.25	7.609	8.0	5.5	4.583	4.0	3.0	2.25	SHORT	St	IS0 4028	2003
