PartNumber	PartName	d1_pin_nom_dia(mm)	l_pin_length_nom(mm)	l_pin_length_min(mm)	l_pin_length_max(mm)	d1_pin_max(mm)	d1_pin_min(mm)	d2_pin_id(mm)	a_cham_max(mm)	a_cham_min(mm)	s_wall_th(mm)	Material	Reference	Edition
ISO 8752 SPRING PIN 3.5x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	12.0	11.5	12.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	14.0	13.5	14.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	16.0	15.5	16.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	18.0	17.5	18.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	20.0	19.5	20.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	22.0	21.5	22.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	24.0	23.5	24.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	26.0	25.5	26.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	28.0	27.5	28.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	30.0	29.5	30.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	32.0	31.5	32.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	35.0	34.5	35.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	40.0	39.5	40.5	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	4.0	3.75	4.25	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	5.0	4.75	5.25	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	6.0	5.75	6.25	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	8.0	6.75	7.25	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	10.0	9.75	10.25	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	12.0	11.5	12.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	14.0	13.5	14.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	16.0	15.5	16.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	18.0	17.5	18.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	20.0	19.5	20.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	22.0	21.5	22.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	24.0	23.5	24.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	26.0	25.5	26.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
