PartNumber	PartName	d_pin_dia(mm)	l_pin_len_nom(mm)	l_pin_len_min(mm)	l_pin_len_max(mm)	c(mm)	Material	Reference	Edition
ISO 8734 PARALLEL PIN 10x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	22.0	21.5	22.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	24.0	23.5	24.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	26.0	25.5	26.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x28 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x28_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	28.0	27.5	28.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x30 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x30_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	30.0	29.5	30.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x32 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x32_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	32.0	31.5	32.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x35 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x35_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	35.0	34.5	35.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x40 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x40_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	40.0	39.5	40.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x45 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x45_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	45.0	44.5	45.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x50 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x50_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	50.0	49.5	50.5	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x55 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x55_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	55.0	54.25	55.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x60 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x60_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	60.0	59.25	60.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x65 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x65_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	65.0	64.25	65.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x70 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x70_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	70.0	69.25	70.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x75 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x75_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	75.0	74.25	75.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x80 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x80_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	80.0	79.25	80.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x85 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x85_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	85.0	84.25	85.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x90 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x90_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	90.0	89.25	90.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x95 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x95_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	95.0	94.25	95.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 10x100 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_10x100_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	10.0	100.0	99.25	100.75	2.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	26.0	25.5	26.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x28 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x28_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	28.0	27.5	28.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x30 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x30_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	30.0	29.5	30.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x32 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x32_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	32.0	31.5	32.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x35 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x35_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	35.0	34.5	35.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x40 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x40_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	40.0	39.5	40.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x45 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x45_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	45.0	44.5	45.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x50 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x50_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	50.0	49.5	50.5	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x55 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x55_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	55.0	54.25	55.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x60 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x60_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	60.0	59.25	60.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x65 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x65_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	65.0	64.25	65.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x70 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x70_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	70.0	69.25	70.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x75 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x75_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	75.0	74.25	75.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x80 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x80_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	80.0	79.25	80.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x85 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x85_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	85.0	84.25	85.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x90 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x90_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	90.0	89.25	90.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x95 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x95_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	95.0	94.25	95.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 12x100 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_12x100_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	12.0	100.0	99.25	100.75	2.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x40 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x40_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	40.0	39.5	40.5	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x45 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x45_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	45.0	44.5	45.5	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x50 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x50_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	50.0	49.5	50.5	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x55 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x55_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	55.0	54.25	55.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x60 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x60_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	60.0	59.25	60.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x65 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x65_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	65.0	64.25	65.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x70 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x70_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	70.0	69.25	70.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x75 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x75_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	75.0	74.25	75.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x80 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x80_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	80.0	79.25	80.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x85 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x85_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	85.0	84.25	85.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x90 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x90_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	90.0	89.25	90.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x95 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x95_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	95.0	94.25	95.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 16x100 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_16x100_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	16.0	100.0	99.25	100.75	3.0	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x50 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x50_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	50.0	49.5	50.5	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x55 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x55_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	55.0	54.25	55.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x60 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x60_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	60.0	59.25	60.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x65 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x65_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	65.0	64.25	65.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x70 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x70_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	70.0	69.25	70.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x75 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x75_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	75.0	74.25	75.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x80 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x80_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	80.0	79.25	80.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x85 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x85_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	85.0	84.25	85.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x90 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x90_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	90.0	89.25	90.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x95 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x95_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	95.0	94.25	95.75	3.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 20x100 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_20x100_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	20.0	100.0	99.25	100.75	3.5	St	ISO 8734	1997
