PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 8x70 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x70_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	70.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x75 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x75_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	75.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x80 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x80_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	80.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x20 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x20_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	20.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x22 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x22_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	22.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	24.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x26 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x26_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	26.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	28.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	30.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	32.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	35.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	40.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	45.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	50.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x55 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x55_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	55.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x60 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x60_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	60.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x65 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x65_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	65.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x70 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x70_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	70.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x75 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x75_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	75.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x80 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x80_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	80.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x85 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x85_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	85.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x90 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x90_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	90.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x95 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x95_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	95.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 10x100 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_10x100_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	10.0	100.0	18.0	2.0	1.0	4.0	4.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	24.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x26 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x26_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	26.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	28.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	30.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	32.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	35.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	40.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	45.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	50.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x55 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x55_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	55.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x60 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x60_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	60.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x65 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x65_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	65.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x70 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x70_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	70.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x75 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x75_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	75.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x80 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x80_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	80.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x85 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x85_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	85.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x90 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x90_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	90.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x95 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x95_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	95.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x100 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x100_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	100.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 12x120 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_12x120_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	12.0	120.0	20.0	3.0	1.6	4.0	5.5	0.6	3.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	28.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	30.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	32.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	35.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	40.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	45.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	50.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x55 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x55_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	55.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x60 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x60_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	60.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x65 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x65_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	65.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x70 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x70_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	70.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x75 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x75_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	75.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x80 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x80_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	80.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x85 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x85_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	85.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x90 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x90_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	90.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x95 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x95_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	95.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x100 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x100_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	100.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x120 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x120_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	120.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 14x140 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_14x140_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	14.0	140.0	22.0	3.0	1.6	4.0	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	32.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	35.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	40.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	45.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	50.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x55 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x55_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	55.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x60 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x60_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	60.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x65 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x65_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	65.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x70 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x70_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	70.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x75 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x75_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	75.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x80 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x80_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	80.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x85 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x85_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	85.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x90 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x90_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	90.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x95 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x95_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	95.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x100 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x100_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	100.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x120 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x120_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	120.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x140 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x140_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	140.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 16x160 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_16x160_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	16.0	160.0	25.0	3.0	1.6	4.5	6.0	0.6	4.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 18x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_18x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	18.0	35.0	28.0	3.0	1.6	5.0	7.0	1.0	5.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 18x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_18x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	18.0	40.0	28.0	3.0	1.6	5.0	7.0	1.0	5.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 18x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_18x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	18.0	45.0	28.0	3.0	1.6	5.0	7.0	1.0	5.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 18x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_18x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	18.0	50.0	28.0	3.0	1.6	5.0	7.0	1.0	5.0	St	ISO 2341	1986
