PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 4x18 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x18_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	18.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x20 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x20_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	20.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x22 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x22_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	22.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	24.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x26 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x26_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	26.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	28.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	30.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	32.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	35.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 4x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_4x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	4.0	40.0	6.0	1.0	0.5	1.0	2.2	0.6	1.0	St	ISO 2341	1986
