PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	A_point_dia_max(mm)	A_point_dia_min(mm)	Y_point angle(deg)	Material	Reference	Edition
ASME B18.3.6M SCREW M8x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	24.609	25.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	29.609	30.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	34.609	35.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	39.609	40.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	44.609	45.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	49.609	50.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	54.609	55.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	59.609	60.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x70 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x70_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	69.609	70.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x80 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x80_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	79.609	80.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	7.531	8.0	5.0	3.0	2.5	2.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	9.531	10.0	5.0	4.0	2.5	2.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	11.531	12.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	15.531	16.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	19.531	20.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	24.531	25.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	29.531	30.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	34.531	35.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	39.531	40.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	44.531	45.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	49.531	50.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	54.531	55.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	59.531	60.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x70 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x70_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	69.531	70.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x80 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x80_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	79.531	80.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x90 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x90_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	89.531	90.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x100 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M10x100_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	99.531	100.0	5.0	5.0	2.5	2.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	9.453	10.0	6.0	3.8	3.0	2.4	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	11.453	12.0	6.0	5.0	3.0	2.4	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	15.453	16.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	19.453	20.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	24.453	25.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	29.453	30.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	34.453	35.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	39.453	40.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	44.453	45.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	49.453	50.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	54.453	55.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	59.453	60.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x70 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x70_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	69.453	70.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x80 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x80_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	79.453	80.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x90 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x90_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	89.453	90.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x100 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M12x100_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	99.453	100.0	6.0	6.0	3.0	2.4	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	11.375	12.0	8.0	3.0	4.0	3.2	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	15.375	16.0	8.0	6.0	4.0	3.2	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	19.375	20.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	24.375	25.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	29.375	30.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	34.375	35.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	39.375	40.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	44.375	45.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	49.375	50.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	54.375	55.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	59.375	60.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x70 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x70_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	69.375	70.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x80 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x80_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	79.375	80.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x90 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x90_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	89.375	90.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x100 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M16x100_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	99.375	100.0	8.0	8.0	4.0	3.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	15.219	16.0	10.0	5.0	5.0	4.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	19.219	20.0	10.0	8.0	5.0	4.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	24.219	25.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	29.219	30.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	34.219	35.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	39.219	40.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	44.219	45.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	49.219	50.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	54.219	55.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	59.219	60.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x70 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x70_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	69.219	70.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x80 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x80_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	79.219	80.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x90 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x90_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	89.219	90.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x100 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M20x100_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	99.219	100.0	10.0	10.0	5.0	4.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	19.063	20.0	12.0	7.0	6.0	4.8	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	24.063	25.0	12.0	10.0	6.0	4.8	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	29.063	30.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	34.063	35.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	39.063	40.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	44.063	45.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	49.063	50.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	54.063	55.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	59.063	60.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x70 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x70_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	69.063	70.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x80 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x80_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	79.063	80.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x90 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x90_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	89.063	90.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x100 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M24x100_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	99.063	100.0	12.0	12.0	6.0	4.8	90	St	ASME B18.3.6M	1986
