PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	A_point_dia_max(mm)	A_point_dia_min(mm)	Y_point angle(deg)	Material	Reference	Edition
ASME B18.3.6M SCREW M2x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2	2.0	0.4	15.875	16.0	0.9	1.5	0.2	0.0	90	St	ASME B18.3.6M	1992
ASME B18.3.6M SCREW M2x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2	2.0	0.4	19.875	20.0	0.9	1.5	0.2	0.0	90	St	ASME B18.3.6M	1993
ASME B18.3.6M SCREW M2.5x2 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x2_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	1.859	2.0	1.3	0.7	0.25	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x2.5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x2.5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	2.359	2.5	1.3	1.0	0.25	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x3 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x3_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	2.859	3.0	1.3	1.3	0.25	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x4 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x4_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	3.859	4.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	4.859	5.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	5.859	6.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	7.859	8.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	9.859	10.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
