PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	C_point_dia_max(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	C_point_dia_min(mm)	Material	Reference	Edition
ASME B18.3.6M SCREW M8x55 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M8x55_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	53.5	55.0	5.0	4.0	4.0	4.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x60 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M8x60_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	58.5	60.0	5.0	4.0	4.0	4.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x70 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M8x70_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	68.5	70.0	5.0	4.0	4.0	4.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x80 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M8x80_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	78.5	80.0	5.0	4.0	4.0	4.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x6 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x6_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	4.0	6.0	6.0	5.0	2.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x8 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x8_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	6.0	8.0	6.0	5.0	3.6	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x10 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x10_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	8.0	10.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x12 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x12_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	10.0	12.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x16 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x16_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	14.0	16.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x20 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x20_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	18.0	20.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x25 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x25_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	23.0	25.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x30 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x30_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	28.0	30.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x35 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x35_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	33.0	35.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x40 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x40_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	38.0	40.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x45 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x45_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	43.0	45.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x50 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x50_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	48.0	50.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x55 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x55_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	53.0	55.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x60 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x60_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	58.0	60.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x70 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x70_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	68.0	70.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x80 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x80_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	78.0	80.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x90 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x90_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	88.0	90.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M10x100 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M10x100_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M10	10.0	1.5	98.0	100.0	6.0	5.0	5.0	5.7	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x8 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x8_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	6.0	8.0	8.0	6.0	3.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x10 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x10_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	8.0	10.0	8.0	6.0	4.5	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x12 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x12_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	10.0	12.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x16 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x16_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	14.0	16.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x20 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x20_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	18.0	20.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x25 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x25_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	23.0	25.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x30 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x30_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	28.0	30.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x35 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x35_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	33.0	35.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x40 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x40_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	38.0	40.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x45 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x45_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	43.0	45.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x50 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x50_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	48.0	50.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x55 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x55_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	53.0	55.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x60 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x60_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	58.0	60.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x70 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x70_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	68.0	70.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x80 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x80_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	78.0	80.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x90 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x90_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	88.0	90.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M12x100 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M12x100_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M12	12.0	1.75	98.0	100.0	8.0	6.0	6.0	7.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x10 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x10_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	7.0	10.0	10.0	8.0	3.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x12 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x12_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	9.0	12.0	10.0	8.0	4.8	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x16 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x16_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	13.0	16.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x20 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x20_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	17.0	20.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x25 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x25_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	22.0	25.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x30 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x30_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	27.0	30.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x35 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x35_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	32.0	35.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x40 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x40_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	37.0	40.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x45 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x45_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	42.0	45.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x50 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x50_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	47.0	50.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x55 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x55_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	52.0	55.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x60 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x60_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	57.0	60.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x70 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x70_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	67.0	70.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x80 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x80_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	77.0	80.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x90 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x90_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	87.0	90.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M16x100 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M16x100_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M16	16.0	2.0	97.0	100.0	10.0	8.0	8.0	9.64	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x16 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x16_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	13.0	16.0	14.0	10.0	6.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x20 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x20_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	17.0	20.0	14.0	10.0	9.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x25 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x25_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	22.0	25.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x30 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x30_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	27.0	30.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x35 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x35_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	32.0	35.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x40 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x40_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	37.0	40.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x45 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x45_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	42.0	45.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x50 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x50_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	47.0	50.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x55 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x55_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	52.0	55.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x60 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x60_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	57.0	60.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x70 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x70_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	67.0	70.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x80 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x80_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	77.0	80.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x90 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x90_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	87.0	90.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M20x100 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M20x100_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M20	20.0	2.5	97.0	100.0	14.0	10.0	10.0	13.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x16 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x16_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	12.0	16.0	16.0	12.0	5.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x20 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x20_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	16.0	20.0	16.0	12.0	8.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x25 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x25_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	21.0	25.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x30 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x30_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	26.0	30.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x35 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x35_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	31.0	35.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x40 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x40_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	36.0	40.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x45 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x45_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	41.0	45.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x50 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x50_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	46.0	50.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x55 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x55_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	51.0	55.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x60 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x60_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	56.0	60.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x70 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x70_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	66.0	70.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x80 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x80_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	76.0	80.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x90 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x90_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	86.0	90.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M24x100 STEEL SOCKET SET CUP POINT	ASME_B18_3_6M_M24x100_STEEL_CUP_POINT_HEX_SOCKET_SET_SCREW	M24	24.0	3.0	96.0	100.0	16.0	12.0	12.0	15.57	St	ASME B18.3.6M	1986
