PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	d_sh_dia_max(mm)	d_sh_dia_min(mm)	d_body_dia_max(mm)	d_body_dia_min(mm)	l_sh_max(mm)	l_sh_min(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M20x100 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x100_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	46.0	20.84	19.16	100.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x110 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x110_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	46.0	20.84	19.16	110.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x120 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x120_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	46.0	20.84	19.16	120.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x130 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x130_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	52.0	20.84	19.16	130.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x140 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x140_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	52.0	20.84	19.16	140.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x150 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x150_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	52.0	20.84	19.16	150.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x160 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x160_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	52.0	20.84	19.16	160.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x180 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x180_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	52.0	20.84	19.16	180.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x200 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x200_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	52.0	20.84	19.16	200.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x90 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x90_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	54.0	24.84	23.16	90.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x100 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x100_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	54.0	24.84	23.16	100.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x110 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x110_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	54.0	24.84	23.16	110.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x120 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x120_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	54.0	24.84	23.16	120.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x130 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x130_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	60.0	24.84	23.16	130.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x140 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x140_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	60.0	24.84	23.16	140.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x150 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x150_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	60.0	24.84	23.16	150.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x160 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x160_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	60.0	24.84	23.16	160.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x180 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x180_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	60.0	24.84	23.16	180.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x200 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x200_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	60.0	24.84	23.16	200.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x220 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x220_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	73.0	24.84	23.16	220.0	73.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x240 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M24x240_STEEL_HEX_SHOULDER_BOLT	M24	24.0	3.0	73.0	24.84	23.16	240.0	73.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	24.84	23.16	22.13	21.8	13.0	12.0	St	ANSI B18.2.3.5M	1979
