PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_screw_length(mm)	A_max(mm)	B_thread_length(mm)	full_part	Lg_max(mm)	Ds_screw_dia_min(mm)	S_across_flats_min(mm)	S_across_flats_max(mm)	E_across_corners_min(mm)	E_across_corners_max(mm)	K_head_hgt_min(mm)	K_head_hgt_max(mm)	Kw_wrench_hgt(mm)	C_wash_face_min(mm)	C_wash_face_max(mm)	Dw_washer_face_dia(mm)	r_min(mm)	Material	Reference	Edition
ANSI B18.2.3.1M SCREW M24x140 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x140_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	60.0	140.0	0.0	60.0	part	80.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M24x150 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x150_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	60.0	150.0	0.0	60.0	part	90.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M24x160 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x160_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	60.0	160.0	0.0	60.0	part	100.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M24x180 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x180_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	60.0	180.0	0.0	60.0	part	120.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M24x200 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x200_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	60.0	200.0	0.0	60.0	part	140.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M24x220 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x220_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	73.0	220.0	0.0	73.0	part	147.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M24x240 STEEL HEX CAP 	ANSI_B18_2_3_1M_M24x240_STEEL_HEX_CAP_SCREW	M24	24.0	3.0	73.0	240.0	0.0	73.0	part	167.0	23.67	35.0	36.0	39.55	41.57	14.46	15.44	10.5	0.4	0.8	33.2	0.8	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x60 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x60_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	49.5	60.0	10.5	66.0	full	0.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x65 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x65_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	54.5	65.0	10.5	66.0	full	0.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x70 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x70_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	59.5	70.0	10.5	66.0	full	0.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x80 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x80_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	69.5	80.0	10.5	66.0	full	0.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x90 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x90_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	79.5	90.0	10.5	66.0	full	0.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x100 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x100_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	89.5	100.0	10.5	66.0	full	0.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x110 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x110_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	66.0	110.0	0.0	66.0	part	44.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x120 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x120_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	66.0	120.0	0.0	66.0	part	55.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x130 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x130_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	72.0	130.0	0.0	72.0	part	58.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x140 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x140_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	72.0	140.0	0.0	72.0	part	68.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x150 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x150_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	72.0	150.0	0.0	72.0	part	78.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x160 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x160_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	72.0	160.0	0.0	72.0	part	88.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x180 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x180_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	72.0	180.0	0.0	72.0	part	108.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x200 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x200_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	72.0	200.0	0.0	72.0	part	128.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x220 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x220_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	85.0	220.0	0.0	85.0	part	135.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x240 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x240_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	85.0	240.0	0.0	85.0	part	155.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x260 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x260_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	85.0	260.0	0.0	85.0	part	175.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x280 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x280_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	85.0	280.0	0.0	85.0	part	195.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M30x300 STEEL HEX CAP 	ANSI_B18_2_3_1M_M30x300_STEEL_HEX_CAP_SCREW	M30	30.0	3.5	85.0	300.0	0.0	85.0	part	215.0	29.67	45.0	46.0	50.85	53.12	17.92	19.48	13.1	0.4	0.8	42.7	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x80 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x80_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	68.0	80.0	12.0	78.0	full	0.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x90 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x90_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	78.0	90.0	12.0	78.0	full	0.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x100 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x100_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	88.0	100.0	12.0	78.0	full	0.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x110 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x110_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	98.0	110.0	12.0	78.0	full	0.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x120 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x120_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	108.0	120.0	12.0	78.0	full	0.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x130 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x130_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	118.0	130.0	12.0	78.0	full	0.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x140 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x140_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	84.0	140.0	0.0	84.0	part	56.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x150 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x150_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	84.0	150.0	0.0	84.0	part	66.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x160 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x160_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	84.0	160.0	0.0	84.0	part	76.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x180 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x180_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	84.0	180.0	0.0	84.0	part	96.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x200 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x200_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	84.0	200.0	0.0	84.0	part	116.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x220 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x220_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	97.0	220.0	0.0	97.0	part	123.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x240 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x240_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	97.0	240.0	0.0	97.0	part	143.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x260 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x260_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	97.0	260.0	0.0	97.0	part	163.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x280 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x280_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	97.0	280.0	0.0	97.0	part	183.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M36x300 STEEL HEX CAP 	ANSI_B18_2_3_1M_M36x300_STEEL_HEX_CAP_SCREW	M36	36.0	4.0	97.0	300.0	0.0	97.0	part	203.0	35.61	53.8	55.0	60.79	63.51	21.62	23.38	15.8	0.4	0.8	51.1	1.0	St	ANSI B18.2.3.1M	1999
