PartNumber	PartName	Nominal_size(mm)	Nominal_len(mm)	A_pin_dia_max(mm)	A_pin_dia_min(mm)	B_point_dia_max(mm)	B_point_dia_min(mm)	C_crown_max(mm)	R_radius_min(mm)	L_nom_min(mm)	Type	Material	Reference	Edition
ASME B18.8.5M PIN 3x20 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_3x20_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	3.0	20.0	3.03	3.025	2.9	2.6	0.8	0.3	4.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 3x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_3x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	3.0	25.0	3.03	3.025	2.9	2.6	0.8	0.3	4.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 3x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_3x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	3.0	30.0	3.03	3.025	2.9	2.6	0.8	0.3	4.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x10 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x10_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	10.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x12 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x12_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	12.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x16 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x16_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	16.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x20 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x20_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	20.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	25.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	30.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	35.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 4x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_4x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	4.0	40.0	4.031	4.026	3.9	3.6	0.9	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x12 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x12_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	12.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x16 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x16_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	16.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x20 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x20_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	20.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	25.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	30.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	35.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	40.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	45.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 5x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_5x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	5.0	50.0	5.031	5.026	4.9	4.6	1.0	0.4	4.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x16 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x16_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	16.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x20 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x20_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	20.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	25.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	30.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	35.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	40.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	45.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	50.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 6x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_6x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	6.0	60.0	6.032	6.026	5.8	5.4	1.1	0.4	5.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x16 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x16_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	16.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x20 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x20_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	20.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	25.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	30.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	35.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	40.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	45.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	50.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	60.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x70 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x70_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	70.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x80 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x80_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	80.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 8x90 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_8x90_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	8.0	90.0	8.034	8.028	7.8	7.4	1.3	0.5	5.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x20 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x20_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	20.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	25.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	30.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	35.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	40.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	45.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	50.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	60.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x70 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x70_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	70.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x80 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x80_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	80.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x90 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x90_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	90.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 10x100 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_10x100_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	10.0	100.0	10.034	10.028	9.8	9.4	1.4	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x25 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x25_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	25.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	30.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	35.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	40.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	45.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	50.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	60.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x70 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x70_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	70.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x80 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x80_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	80.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x90 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x90_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	90.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x100 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x100_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	100.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x110 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x110_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	110.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 12x120 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_12x120_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	12.0	120.0	12.035	12.029	11.8	11.4	1.6	0.6	6.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x30 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x30_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	30.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x35 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x35_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	35.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	40.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	45.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	50.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	60.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x70 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x70_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	70.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x80 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x80_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	80.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x90 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x90_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	90.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x100 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x100_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	100.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x110 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x110_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	110.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x120 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x120_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	120.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x130 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x130_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	130.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x140 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x140_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	140.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 16x150 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_16x150_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	16.0	150.0	16.035	16.029	15.8	15.3	1.8	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x40 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x40_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	40.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
