PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer(mm)	Style	Material	Reference	Edition
ASME B18.25.1M KEY 14x9x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_14x9x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	14.0	9.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 14x9x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_14x9x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	14.0	9.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 14x9x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_14x9x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	14.0	9.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x7x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x7x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	16.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x45 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x45_STEEL_STYLE_C_RECTANGULAR_KEY	45.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 16x10x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_16x10x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	16.0	10.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x7x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x7x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	18.0	7.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x50 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x50_STEEL_STYLE_C_RECTANGULAR_KEY	50.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 18x11x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_18x11x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	18.0	11.0	0.6	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x56 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x56_STEEL_STYLE_C_RECTANGULAR_KEY	56.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x8x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x8x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	20.0	8.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x63 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x63_STEEL_STYLE_C_RECTANGULAR_KEY	63.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 20x12x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_20x12x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	20.0	12.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x70 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x70_STEEL_STYLE_C_RECTANGULAR_KEY	70.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x6x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x6x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	22.0	6.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x80 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x80_STEEL_STYLE_C_RECTANGULAR_KEY	80.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 22x14x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_22x14x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	22.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x90 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x90_STEEL_STYLE_C_RECTANGULAR_KEY	90.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x9x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x9x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	25.0	9.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
