PartNumber	PartName	D_dia_nom(mm)	L_nom(mm)	D_dia_max(mm)	D_dia_min(mm)	Dk_dia_max(mm)	Dk_dia_min(mm)	K_max(mm)	K_min(mm)	E_radius(mm)	R_radius_nom(mm)	t1_max(mm)	t2_max(mm)	Dp_max(mm)	Dp_min(mm)	D1_hole_dia_nom(mm)	D1_hole_dia_max(mm)	D1_hole_dia_min(mm)	Lh_hole_ctrs(mm)	Type	Material	Reference	Edition
ASME B.18.8.8M PIN 22x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	80.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	70.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	85.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	75.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	90.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	80.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	95.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	85.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	100.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	90.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	120.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	110.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	140.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	130.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	160.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	150.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	180.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	170.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 22x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_22x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	22.0	200.0	22.0	21.87	33.0	32.38	5.7	5.3	2.0	1.0	0.92	1.24	18.6	17.4	5.0	5.18	5.0	190.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x50 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x50_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	50.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	40.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x55 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x55_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	55.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	44.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x60 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x60_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	60.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	49.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x65 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x65_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	65.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	54.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x70 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x70_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	70.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	59.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x75 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x75_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	75.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	64.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	80.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	69.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	85.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	74.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	90.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	79.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	95.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	84.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	100.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	89.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	120.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	109.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	140.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	129.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	160.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	149.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	180.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	169.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	200.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	189.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	220.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	209.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 24x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_24x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	24.0	240.0	24.0	23.87	36.0	35.38	6.2	5.8	2.0	1.0	1.01	1.24	20.6	19.4	6.3	6.52	6.3	229.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x55 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x55_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	55.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	44.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x60 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x60_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	60.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	49.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x65 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x65_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	65.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	54.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x70 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x70_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	70.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	59.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x75 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x75_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	75.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	64.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	80.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	69.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	85.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	74.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	90.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	79.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	95.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	84.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	100.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	89.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	120.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	110.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	140.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	129.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	160.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	149.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	180.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	169.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	200.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	189.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	220.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	209.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	240.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	229.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 27x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_27x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	27.0	260.0	27.0	26.87	40.0	39.38	6.2	5.8	2.0	1.0	1.12	1.24	23.6	22.4	6.3	6.52	6.3	249.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x60 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x60_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	60.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	49.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x65 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x65_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	65.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	53.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x70 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x70_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	70.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	58.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x75 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x75_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	75.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	63.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	80.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	68.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	85.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	73.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	90.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	78.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	95.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	83.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	100.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	88.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	120.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	109.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	140.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	128.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	160.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	148.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	180.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	168.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	200.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	188.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	220.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	208.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	240.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	228.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	260.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	248.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	280.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	268.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 30x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_30x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	30.0	300.0	30.0	29.87	44.0	43.38	8.3	7.7	2.0	1.0	1.23	1.24	26.6	25.4	8.0	8.22	8.0	288.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x65 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x65_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	65.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	53.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x70 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x70_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	70.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	58.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x75 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x75_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	75.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	63.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	80.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	68.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	85.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	73.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	90.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	78.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	95.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	83.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	100.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	88.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	120.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	109.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	140.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	128.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	160.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	148.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	180.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	168.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	200.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	188.0	B	St	ASME B18.8.8M	2000
