PartNumber	PartName	Nom_pin_size(mm)	Nominal_len(mm)	D_dia_max(mm)	D_dia_min(mm)	B_chamfer_dia_max(mm)	C_chamfer_lg_max(mm)	C_chamfer_lg_min(mm)	S_stock_thk_nom(mm)	Hole_size_min(mm)	Type	Material	Reference	Edition
ASME B18.8.4M PIN 5x24 STEEL SPRING TYPE B	ASME_B18_8_4M_5x24_TYPE_B_STEEL_SPRING_PIN	5.0	24.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x26 STEEL SPRING TYPE B	ASME_B18_8_4M_5x26_TYPE_B_STEEL_SPRING_PIN	5.0	26.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x28 STEEL SPRING TYPE B	ASME_B18_8_4M_5x28_TYPE_B_STEEL_SPRING_PIN	5.0	28.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x30 STEEL SPRING TYPE B	ASME_B18_8_4M_5x30_TYPE_B_STEEL_SPRING_PIN	5.0	30.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x32 STEEL SPRING TYPE B	ASME_B18_8_4M_5x32_TYPE_B_STEEL_SPRING_PIN	5.0	32.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x35 STEEL SPRING TYPE B	ASME_B18_8_4M_5x35_TYPE_B_STEEL_SPRING_PIN	5.0	35.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x40 STEEL SPRING TYPE B	ASME_B18_8_4M_5x40_TYPE_B_STEEL_SPRING_PIN	5.0	40.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x45 STEEL SPRING TYPE B	ASME_B18_8_4M_5x45_TYPE_B_STEEL_SPRING_PIN	5.0	45.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x50 STEEL SPRING TYPE B	ASME_B18_8_4M_5x50_TYPE_B_STEEL_SPRING_PIN	5.0	50.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x55 STEEL SPRING TYPE B	ASME_B18_8_4M_5x55_TYPE_B_STEEL_SPRING_PIN	5.0	55.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 5x60 STEEL SPRING TYPE B	ASME_B18_8_4M_5x60_TYPE_B_STEEL_SPRING_PIN	5.0	60.0	5.33	5.17	4.8	1.4	0.3	1.0	5.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x12 STEEL SPRING TYPE B	ASME_B18_8_4M_6x12_TYPE_B_STEEL_SPRING_PIN	6.0	12.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x14 STEEL SPRING TYPE B	ASME_B18_8_4M_6x14_TYPE_B_STEEL_SPRING_PIN	6.0	14.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x16 STEEL SPRING TYPE B	ASME_B18_8_4M_6x16_TYPE_B_STEEL_SPRING_PIN	6.0	16.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x18 STEEL SPRING TYPE B	ASME_B18_8_4M_6x18_TYPE_B_STEEL_SPRING_PIN	6.0	18.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x20 STEEL SPRING TYPE B	ASME_B18_8_4M_6x20_TYPE_B_STEEL_SPRING_PIN	6.0	20.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x22 STEEL SPRING TYPE B	ASME_B18_8_4M_6x22_TYPE_B_STEEL_SPRING_PIN	6.0	22.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x24 STEEL SPRING TYPE B	ASME_B18_8_4M_6x24_TYPE_B_STEEL_SPRING_PIN	6.0	24.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x26 STEEL SPRING TYPE B	ASME_B18_8_4M_6x26_TYPE_B_STEEL_SPRING_PIN	6.0	26.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x28 STEEL SPRING TYPE B	ASME_B18_8_4M_6x28_TYPE_B_STEEL_SPRING_PIN	6.0	28.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x30 STEEL SPRING TYPE B	ASME_B18_8_4M_6x30_TYPE_B_STEEL_SPRING_PIN	6.0	30.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x32 STEEL SPRING TYPE B	ASME_B18_8_4M_6x32_TYPE_B_STEEL_SPRING_PIN	6.0	32.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x35 STEEL SPRING TYPE B	ASME_B18_8_4M_6x35_TYPE_B_STEEL_SPRING_PIN	6.0	35.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x40 STEEL SPRING TYPE B	ASME_B18_8_4M_6x40_TYPE_B_STEEL_SPRING_PIN	6.0	40.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x45 STEEL SPRING TYPE B	ASME_B18_8_4M_6x45_TYPE_B_STEEL_SPRING_PIN	6.0	45.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x50 STEEL SPRING TYPE B	ASME_B18_8_4M_6x50_TYPE_B_STEEL_SPRING_PIN	6.0	50.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x55 STEEL SPRING TYPE B	ASME_B18_8_4M_6x55_TYPE_B_STEEL_SPRING_PIN	6.0	55.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x60 STEEL SPRING TYPE B	ASME_B18_8_4M_6x60_TYPE_B_STEEL_SPRING_PIN	6.0	60.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x65 STEEL SPRING TYPE B	ASME_B18_8_4M_6x65_TYPE_B_STEEL_SPRING_PIN	6.0	65.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x70 STEEL SPRING TYPE B	ASME_B18_8_4M_6x70_TYPE_B_STEEL_SPRING_PIN	6.0	70.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 6x75 STEEL SPRING TYPE B	ASME_B18_8_4M_6x75_TYPE_B_STEEL_SPRING_PIN	6.0	75.0	6.36	6.18	5.8	1.6	0.4	1.2	6.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x16 STEEL SPRING TYPE B	ASME_B18_8_4M_8x16_TYPE_B_STEEL_SPRING_PIN	8.0	16.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x18 STEEL SPRING TYPE B	ASME_B18_8_4M_8x18_TYPE_B_STEEL_SPRING_PIN	8.0	18.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x20 STEEL SPRING TYPE B	ASME_B18_8_4M_8x20_TYPE_B_STEEL_SPRING_PIN	8.0	20.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x22 STEEL SPRING TYPE B	ASME_B18_8_4M_8x22_TYPE_B_STEEL_SPRING_PIN	8.0	22.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x24 STEEL SPRING TYPE B	ASME_B18_8_4M_8x24_TYPE_B_STEEL_SPRING_PIN	8.0	24.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x26 STEEL SPRING TYPE B	ASME_B18_8_4M_8x26_TYPE_B_STEEL_SPRING_PIN	8.0	26.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x28 STEEL SPRING TYPE B	ASME_B18_8_4M_8x28_TYPE_B_STEEL_SPRING_PIN	8.0	28.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x30 STEEL SPRING TYPE B	ASME_B18_8_4M_8x30_TYPE_B_STEEL_SPRING_PIN	8.0	30.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x32 STEEL SPRING TYPE B	ASME_B18_8_4M_8x32_TYPE_B_STEEL_SPRING_PIN	8.0	32.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x35 STEEL SPRING TYPE B	ASME_B18_8_4M_8x35_TYPE_B_STEEL_SPRING_PIN	8.0	35.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x40 STEEL SPRING TYPE B	ASME_B18_8_4M_8x40_TYPE_B_STEEL_SPRING_PIN	8.0	40.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x45 STEEL SPRING TYPE B	ASME_B18_8_4M_8x45_TYPE_B_STEEL_SPRING_PIN	8.0	45.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x50 STEEL SPRING TYPE B	ASME_B18_8_4M_8x50_TYPE_B_STEEL_SPRING_PIN	8.0	50.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x55 STEEL SPRING TYPE B	ASME_B18_8_4M_8x55_TYPE_B_STEEL_SPRING_PIN	8.0	55.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x60 STEEL SPRING TYPE B	ASME_B18_8_4M_8x60_TYPE_B_STEEL_SPRING_PIN	8.0	60.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x65 STEEL SPRING TYPE B	ASME_B18_8_4M_8x65_TYPE_B_STEEL_SPRING_PIN	8.0	65.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x70 STEEL SPRING TYPE B	ASME_B18_8_4M_8x70_TYPE_B_STEEL_SPRING_PIN	8.0	70.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x75 STEEL SPRING TYPE B	ASME_B18_8_4M_8x75_TYPE_B_STEEL_SPRING_PIN	8.0	75.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x80 STEEL SPRING TYPE B	ASME_B18_8_4M_8x80_TYPE_B_STEEL_SPRING_PIN	8.0	80.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x85 STEEL SPRING TYPE B	ASME_B18_8_4M_8x85_TYPE_B_STEEL_SPRING_PIN	8.0	85.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x90 STEEL SPRING TYPE B	ASME_B18_8_4M_8x90_TYPE_B_STEEL_SPRING_PIN	8.0	90.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x95 STEEL SPRING TYPE B	ASME_B18_8_4M_8x95_TYPE_B_STEEL_SPRING_PIN	8.0	95.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 8x100 STEEL SPRING TYPE B	ASME_B18_8_4M_8x100_TYPE_B_STEEL_SPRING_PIN	8.0	100.0	8.45	8.22	7.8	2.0	0.4	1.6	8.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x20 STEEL SPRING TYPE B	ASME_B18_8_4M_10x20_TYPE_B_STEEL_SPRING_PIN	10.0	20.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x22 STEEL SPRING TYPE B	ASME_B18_8_4M_10x22_TYPE_B_STEEL_SPRING_PIN	10.0	22.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x24 STEEL SPRING TYPE B	ASME_B18_8_4M_10x24_TYPE_B_STEEL_SPRING_PIN	10.0	24.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x26 STEEL SPRING TYPE B	ASME_B18_8_4M_10x26_TYPE_B_STEEL_SPRING_PIN	10.0	26.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x28 STEEL SPRING TYPE B	ASME_B18_8_4M_10x28_TYPE_B_STEEL_SPRING_PIN	10.0	28.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x30 STEEL SPRING TYPE B	ASME_B18_8_4M_10x30_TYPE_B_STEEL_SPRING_PIN	10.0	30.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x32 STEEL SPRING TYPE B	ASME_B18_8_4M_10x32_TYPE_B_STEEL_SPRING_PIN	10.0	32.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x35 STEEL SPRING TYPE B	ASME_B18_8_4M_10x35_TYPE_B_STEEL_SPRING_PIN	10.0	35.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x40 STEEL SPRING TYPE B	ASME_B18_8_4M_10x40_TYPE_B_STEEL_SPRING_PIN	10.0	40.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x45 STEEL SPRING TYPE B	ASME_B18_8_4M_10x45_TYPE_B_STEEL_SPRING_PIN	10.0	45.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x50 STEEL SPRING TYPE B	ASME_B18_8_4M_10x50_TYPE_B_STEEL_SPRING_PIN	10.0	50.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x55 STEEL SPRING TYPE B	ASME_B18_8_4M_10x55_TYPE_B_STEEL_SPRING_PIN	10.0	55.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x60 STEEL SPRING TYPE B	ASME_B18_8_4M_10x60_TYPE_B_STEEL_SPRING_PIN	10.0	60.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x65 STEEL SPRING TYPE B	ASME_B18_8_4M_10x65_TYPE_B_STEEL_SPRING_PIN	10.0	65.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x70 STEEL SPRING TYPE B	ASME_B18_8_4M_10x70_TYPE_B_STEEL_SPRING_PIN	10.0	70.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x75 STEEL SPRING TYPE B	ASME_B18_8_4M_10x75_TYPE_B_STEEL_SPRING_PIN	10.0	75.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x80 STEEL SPRING TYPE B	ASME_B18_8_4M_10x80_TYPE_B_STEEL_SPRING_PIN	10.0	80.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x85 STEEL SPRING TYPE B	ASME_B18_8_4M_10x85_TYPE_B_STEEL_SPRING_PIN	10.0	85.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x90 STEEL SPRING TYPE B	ASME_B18_8_4M_10x90_TYPE_B_STEEL_SPRING_PIN	10.0	90.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x95 STEEL SPRING TYPE B	ASME_B18_8_4M_10x95_TYPE_B_STEEL_SPRING_PIN	10.0	95.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 10x100 STEEL SPRING TYPE B	ASME_B18_8_4M_10x100_TYPE_B_STEEL_SPRING_PIN	10.0	100.0	10.51	10.25	9.7	2.4	0.5	2.0	10.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x22 STEEL SPRING TYPE B	ASME_B18_8_4M_12x22_TYPE_B_STEEL_SPRING_PIN	12.0	22.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x24 STEEL SPRING TYPE B	ASME_B18_8_4M_12x24_TYPE_B_STEEL_SPRING_PIN	12.0	24.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x26 STEEL SPRING TYPE B	ASME_B18_8_4M_12x26_TYPE_B_STEEL_SPRING_PIN	12.0	26.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x28 STEEL SPRING TYPE B	ASME_B18_8_4M_12x28_TYPE_B_STEEL_SPRING_PIN	12.0	28.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x30 STEEL SPRING TYPE B	ASME_B18_8_4M_12x30_TYPE_B_STEEL_SPRING_PIN	12.0	30.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x32 STEEL SPRING TYPE B	ASME_B18_8_4M_12x32_TYPE_B_STEEL_SPRING_PIN	12.0	32.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x35 STEEL SPRING TYPE B	ASME_B18_8_4M_12x35_TYPE_B_STEEL_SPRING_PIN	12.0	35.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x40 STEEL SPRING TYPE B	ASME_B18_8_4M_12x40_TYPE_B_STEEL_SPRING_PIN	12.0	40.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x45 STEEL SPRING TYPE B	ASME_B18_8_4M_12x45_TYPE_B_STEEL_SPRING_PIN	12.0	45.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x50 STEEL SPRING TYPE B	ASME_B18_8_4M_12x50_TYPE_B_STEEL_SPRING_PIN	12.0	50.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x55 STEEL SPRING TYPE B	ASME_B18_8_4M_12x55_TYPE_B_STEEL_SPRING_PIN	12.0	55.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x60 STEEL SPRING TYPE B	ASME_B18_8_4M_12x60_TYPE_B_STEEL_SPRING_PIN	12.0	60.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x65 STEEL SPRING TYPE B	ASME_B18_8_4M_12x65_TYPE_B_STEEL_SPRING_PIN	12.0	65.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x70 STEEL SPRING TYPE B	ASME_B18_8_4M_12x70_TYPE_B_STEEL_SPRING_PIN	12.0	70.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x75 STEEL SPRING TYPE B	ASME_B18_8_4M_12x75_TYPE_B_STEEL_SPRING_PIN	12.0	75.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x80 STEEL SPRING TYPE B	ASME_B18_8_4M_12x80_TYPE_B_STEEL_SPRING_PIN	12.0	80.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x85 STEEL SPRING TYPE B	ASME_B18_8_4M_12x85_TYPE_B_STEEL_SPRING_PIN	12.0	85.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x90 STEEL SPRING TYPE B	ASME_B18_8_4M_12x90_TYPE_B_STEEL_SPRING_PIN	12.0	90.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x95 STEEL SPRING TYPE B	ASME_B18_8_4M_12x95_TYPE_B_STEEL_SPRING_PIN	12.0	95.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
ASME B18.8.4M PIN 12x100 STEEL SPRING TYPE B	ASME_B18_8_4M_12x100_TYPE_B_STEEL_SPRING_PIN	12.0	100.0	12.55	12.28	11.7	2.8	0.6	2.5	12.0	B	St	ASME B18.8.4M	2000
