PartNumber	PartName	D_pin_dia(mm)	Nominal_len(mm)	D_dia_max(mm)	D_dia_min(mm)	Dp_point_dia_max(mm)	Dp_point_dia_min(mm)	Lh_hole_ctrs(mm)	D1_hole_dia_nom(mm)	D1_hole_dia_max(mm)	D1_hole_dia_min(mm)	Type	Material	Reference	Edition
ASME B18.8.7M PIN 50x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_50x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	50.0	300.0	50.0	49.84	46.6	45.4	275.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x120 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x120_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	120.0	55.0	54.81	50.0	48.0	91.5	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x140 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x140_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	140.0	55.0	54.81	50.0	48.0	111.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x160 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x160_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	160.0	55.0	54.81	50.0	48.0	131.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x180 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x180_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	180.0	55.0	54.81	50.0	48.0	151.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x200 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x200_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	200.0	55.0	54.81	50.0	48.0	171.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x220 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x220_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	220.0	55.0	54.81	50.0	48.0	191.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x240 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x240_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	240.0	55.0	54.81	50.0	48.0	211.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x260 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x260_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	260.0	55.0	54.81	50.0	48.0	231.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x280 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x280_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	280.0	55.0	54.81	50.0	48.0	251.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 55x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_55x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	55.0	300.0	55.0	54.81	50.0	48.0	271.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x120 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x120_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	120.0	60.0	59.81	55.0	53.0	91.5	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x140 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x140_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	140.0	60.0	59.81	55.0	53.0	111.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x160 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x160_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	160.0	60.0	59.81	55.0	53.0	131.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x180 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x180_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	180.0	60.0	59.81	55.0	53.0	151.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x200 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x200_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	200.0	60.0	59.81	55.0	53.0	171.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x220 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x220_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	220.0	60.0	59.81	55.0	53.0	191.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x240 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x240_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	240.0	60.0	59.81	55.0	53.0	211.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x260 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x260_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	260.0	60.0	59.81	55.0	53.0	231.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x280 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x280_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	280.0	60.0	59.81	55.0	53.0	251.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 60x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_60x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	60.0	300.0	60.0	59.81	55.0	53.0	271.0	10.0	10.22	10.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x140 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x140_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	140.0	70.0	69.81	65.0	63.0	108.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x160 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x160_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	160.0	70.0	69.81	65.0	63.0	128.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x180 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x180_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	180.0	70.0	69.81	65.0	63.0	148.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x200 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x200_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	200.0	70.0	69.81	65.0	63.0	168.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x220 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x220_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	220.0	70.0	69.81	65.0	63.0	188.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x240 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x240_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	240.0	70.0	69.81	65.0	63.0	208.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x260 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x260_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	260.0	70.0	69.81	65.0	63.0	228.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x280 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x280_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	280.0	70.0	69.81	65.0	63.0	248.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 70x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_70x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	70.0	300.0	70.0	69.81	65.0	63.0	268.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x160 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x160_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	160.0	80.0	79.81	75.0	73.0	128.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x180 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x180_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	180.0	80.0	79.81	75.0	73.0	148.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x200 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x200_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	200.0	80.0	79.81	75.0	73.0	168.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x220 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x220_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	220.0	80.0	79.81	75.0	73.0	188.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x240 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x240_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	240.0	80.0	79.81	75.0	73.0	208.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x260 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x260_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	260.0	80.0	79.81	75.0	73.0	228.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x280 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x280_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	280.0	80.0	79.81	75.0	73.0	248.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 80x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_80x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	80.0	300.0	80.0	79.81	75.0	73.0	268.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x180 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x180_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	180.0	90.0	89.78	85.0	83.0	148.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x200 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x200_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	200.0	90.0	89.78	85.0	83.0	168.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x220 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x220_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	220.0	90.0	89.78	85.0	83.0	188.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x240 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x240_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	240.0	90.0	89.78	85.0	83.0	208.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x260 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x260_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	260.0	90.0	89.78	85.0	83.0	228.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x280 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x280_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	280.0	90.0	89.78	85.0	83.0	248.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 90x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_90x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	90.0	300.0	90.0	89.78	85.0	83.0	268.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 100x200 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_100x200_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	100.0	200.0	100.0	99.78	95.0	93.0	169.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 100x220 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_100x220_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	100.0	220.0	100.0	99.78	95.0	93.0	188.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 100x240 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_100x240_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	100.0	240.0	100.0	99.78	95.0	93.0	208.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 100x260 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_100x260_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	100.0	260.0	100.0	99.78	95.0	93.0	228.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 100x280 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_100x280_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	100.0	280.0	100.0	99.78	95.0	93.0	248.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 100x300 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_100x300_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	100.0	300.0	100.0	99.78	95.0	93.0	268.0	13.0	13.27	13.0	B	St	ASME B18.8.7M	2000
