PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M16x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x70_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	70.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x80_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	80.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x90_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	90.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x100_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	100.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x110_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	110.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x120_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	120.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x130_STEEL_HEXAGON_BOLT	M16	16.0	2.0	44.0	16.7	15.3	130.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x140_STEEL_HEXAGON_BOLT	M16	16.0	2.0	44.0	16.7	15.3	140.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x150_STEEL_HEXAGON_BOLT	M16	16.0	2.0	44.0	16.7	15.3	150.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x160_STEEL_HEXAGON_BOLT	M16	16.0	2.0	44.0	16.7	15.3	160.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x30_STEEL_HEXAGON_BOLT	M20	20.0	2.5	23.75	20.84	19.16	30.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x35_STEEL_HEXAGON_BOLT	M20	20.0	2.5	28.75	20.84	19.16	35.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x40_STEEL_HEXAGON_BOLT	M20	20.0	2.5	33.75	20.84	19.16	40.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x45_STEEL_HEXAGON_BOLT	M20	20.0	2.5	38.75	20.84	19.16	45.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x50_STEEL_HEXAGON_BOLT	M20	20.0	2.5	43.75	20.84	19.16	50.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x60_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	60.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x70_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	70.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x80_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	80.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x90_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	90.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x100_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	100.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x110_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	110.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x120_STEEL_HEXAGON_BOLT	M20	20.0	2.5	46.0	20.84	19.16	120.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x130_STEEL_HEXAGON_BOLT	M20	20.0	2.5	52.0	20.84	19.16	130.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x140_STEEL_HEXAGON_BOLT	M20	20.0	2.5	52.0	20.84	19.16	140.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x150_STEEL_HEXAGON_BOLT	M20	20.0	2.5	52.0	20.84	19.16	150.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x160_STEEL_HEXAGON_BOLT	M20	20.0	2.5	52.0	20.84	19.16	160.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x180_STEEL_HEXAGON_BOLT	M20	20.0	2.5	52.0	20.84	19.16	180.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M20x200_STEEL_HEXAGON_BOLT	M20	20.0	2.5	52.0	20.84	19.16	200.0	52.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x35_STEEL_HEXAGON_BOLT	M24	24.0	3.0	27.5	24.84	23.16	35.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x40_STEEL_HEXAGON_BOLT	M24	24.0	3.0	32.5	24.84	23.16	40.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x45_STEEL_HEXAGON_BOLT	M24	24.0	3.0	37.5	24.84	23.16	45.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x50_STEEL_HEXAGON_BOLT	M24	24.0	3.0	42.5	24.84	23.16	50.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x60_STEEL_HEXAGON_BOLT	M24	24.0	3.0	52.5	24.84	23.16	60.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x70_STEEL_HEXAGON_BOLT	M24	24.0	3.0	54.0	24.84	23.16	70.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x80_STEEL_HEXAGON_BOLT	M24	24.0	3.0	54.0	24.84	23.16	80.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x90_STEEL_HEXAGON_BOLT	M24	24.0	3.0	54.0	24.84	23.16	90.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x100_STEEL_HEXAGON_BOLT	M24	24.0	3.0	54.0	24.84	23.16	100.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x110_STEEL_HEXAGON_BOLT	M24	24.0	3.0	54.0	24.84	23.16	110.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x120_STEEL_HEXAGON_BOLT	M24	24.0	3.0	54.0	24.84	23.16	120.0	54.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x130_STEEL_HEXAGON_BOLT	M24	24.0	3.0	60.0	24.84	23.16	130.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x140_STEEL_HEXAGON_BOLT	M24	24.0	3.0	60.0	24.84	23.16	140.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x150_STEEL_HEXAGON_BOLT	M24	24.0	3.0	60.0	24.84	23.16	150.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x160_STEEL_HEXAGON_BOLT	M24	24.0	3.0	60.0	24.84	23.16	160.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x180_STEEL_HEXAGON_BOLT	M24	24.0	3.0	60.0	24.84	23.16	180.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x200_STEEL_HEXAGON_BOLT	M24	24.0	3.0	60.0	24.84	23.16	200.0	60.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x220_STEEL_HEXAGON_BOLT	M24	24.0	3.0	73.0	24.84	23.16	220.0	73.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M24x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M24x240_STEEL_HEXAGON_BOLT	M24	24.0	3.0	73.0	24.84	23.16	240.0	73.0	36.0	35.0	41.57	39.55	15.9	14.56	10.5	0.8	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x40_STEEL_HEXAGON_BOLT	M30	30.0	3.5	27.75	30.84	29.16	40.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x45_STEEL_HEXAGON_BOLT	M30	30.0	3.5	32.75	30.84	29.16	45.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x50_STEEL_HEXAGON_BOLT	M30	30.0	3.5	37.75	30.84	29.16	50.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x60_STEEL_HEXAGON_BOLT	M30	30.0	3.5	47.75	30.84	29.16	60.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x70_STEEL_HEXAGON_BOLT	M30	30.0	3.5	57.75	30.84	29.16	70.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x80_STEEL_HEXAGON_BOLT	M30	30.0	3.5	66.0	30.84	29.16	80.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x90_STEEL_HEXAGON_BOLT	M30	30.0	3.5	66.0	30.84	29.16	90.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x100_STEEL_HEXAGON_BOLT	M30	30.0	3.5	66.0	30.84	29.16	100.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x110_STEEL_HEXAGON_BOLT	M30	30.0	3.5	66.0	30.84	29.16	110.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x120_STEEL_HEXAGON_BOLT	M30	30.0	3.5	66.0	30.84	29.16	120.0	66.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x130_STEEL_HEXAGON_BOLT	M30	30.0	3.5	72.0	30.84	29.16	130.0	72.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x140_STEEL_HEXAGON_BOLT	M30	30.0	3.5	72.0	30.84	29.16	140.0	72.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x150_STEEL_HEXAGON_BOLT	M30	30.0	3.5	72.0	30.84	29.16	150.0	72.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x160_STEEL_HEXAGON_BOLT	M30	30.0	3.5	72.0	30.84	29.16	160.0	72.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x180_STEEL_HEXAGON_BOLT	M30	30.0	3.5	72.0	30.84	29.16	180.0	72.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x200_STEEL_HEXAGON_BOLT	M30	30.0	3.5	72.0	30.84	29.16	200.0	72.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x220_STEEL_HEXAGON_BOLT	M30	30.0	3.5	85.0	30.84	29.16	220.0	85.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x240_STEEL_HEXAGON_BOLT	M30	30.0	3.5	85.0	30.84	29.16	240.0	85.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x260_STEEL_HEXAGON_BOLT	M30	30.0	3.5	85.0	30.84	29.16	260.0	85.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x280_STEEL_HEXAGON_BOLT	M30	30.0	3.5	85.0	30.84	29.16	280.0	85.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M30x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M30x300_STEEL_HEXAGON_BOLT	M30	30.0	3.5	85.0	30.84	29.16	300.0	85.0	46.0	45.0	53.12	50.55	19.75	17.92	13.1	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x50_STEEL_HEXAGON_BOLT	M36	36.0	4.0	36.0	37.0	35.0	50.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x60_STEEL_HEXAGON_BOLT	M36	36.0	4.0	46.0	37.0	35.0	60.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x70_STEEL_HEXAGON_BOLT	M36	36.0	4.0	56.0	37.0	35.0	70.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x80_STEEL_HEXAGON_BOLT	M36	36.0	4.0	66.0	37.0	35.0	80.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x90_STEEL_HEXAGON_BOLT	M36	36.0	4.0	76.0	37.0	35.0	90.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x100_STEEL_HEXAGON_BOLT	M36	36.0	4.0	78.0	37.0	35.0	100.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x110_STEEL_HEXAGON_BOLT	M36	36.0	4.0	78.0	37.0	35.0	110.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x120_STEEL_HEXAGON_BOLT	M36	36.0	4.0	78.0	37.0	35.0	120.0	78.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x130_STEEL_HEXAGON_BOLT	M36	36.0	4.0	84.0	37.0	35.0	130.0	84.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x140_STEEL_HEXAGON_BOLT	M36	36.0	4.0	84.0	37.0	35.0	140.0	84.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x150_STEEL_HEXAGON_BOLT	M36	36.0	4.0	84.0	37.0	35.0	150.0	84.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x160_STEEL_HEXAGON_BOLT	M36	36.0	4.0	84.0	37.0	35.0	160.0	84.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x180_STEEL_HEXAGON_BOLT	M36	36.0	4.0	84.0	37.0	35.0	180.0	84.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x200_STEEL_HEXAGON_BOLT	M36	36.0	4.0	84.0	37.0	35.0	200.0	84.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x220_STEEL_HEXAGON_BOLT	M36	36.0	4.0	97.0	37.0	35.0	220.0	97.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x240_STEEL_HEXAGON_BOLT	M36	36.0	4.0	97.0	37.0	35.0	240.0	97.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x260_STEEL_HEXAGON_BOLT	M36	36.0	4.0	97.0	37.0	35.0	260.0	97.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x280_STEEL_HEXAGON_BOLT	M36	36.0	4.0	97.0	37.0	35.0	280.0	97.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M36x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M36x300_STEEL_HEXAGON_BOLT	M36	36.0	4.0	97.0	37.0	35.0	300.0	97.0	55.0	53.8	63.51	60.79	23.55	21.72	15.8	1.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x60_STEEL_HEXAGON_BOLT	M42	42.0	4.5	44.25	43.0	41.0	60.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x70_STEEL_HEXAGON_BOLT	M42	42.0	4.5	54.25	43.0	41.0	70.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x80_STEEL_HEXAGON_BOLT	M42	42.0	4.5	64.25	43.0	41.0	80.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
